district,new_sex_trafficking_cases,new_sex_trafficking_defendants,new_forced_labor_cases,new_forced_labor_defendants,new_cases_outside_ch77,year
Michigan Western,2,2,0,0,2,2021
Minnesota,1,2,0,0,1,2021
Mississippi Northern,0,0,0,0,0,2021
Mississippi Southern,1,1,0,0,0,2021
Missouri Eastern,0,0,0,0,0,2021
Missouri Western,1,1,0,0,0,2021
Montana,0,0,0,0,1,2021
Nebraska,7,10,0,0,6,2021
Nevada,1,1,0,0,1,2021
New Hampshire,1,1,0,0,0,2021
New Jersey,1,1,0,0,1,2021
New Mexico,0,0,0,0,0,2021
New York Eastern,4,10,0,0,2,2021
New York Northern,1,1,0,0,3,2021
New York Southern,2,3,0,0,2,2021
New York Western,1,1,0,0,0,2021
North Carolina Eastern,0,0,0,0,2,2021
North Carolina Middle,0,0,0,0,0,2021
North Carolina Western,0,0,0,0,1,2021
North Dakota,1,1,0,0,0,2021
Northern Mariana Islands,0,0,0,0,0,2021
Ohio Northern,2,2,0,0,3,2021
Ohio Southern,0,0,0,0,1,2021
Oklahoma Eastern,0,0,0,0,1,2021
Oklahoma Northern,0,0,0,0,1,2021
Oklahoma Western,0,0,0,0,3,2021
Oregon,0,0,0,0,0,2021
Pennsylvania Eastern,3,5,0,0,0,2021
Pennsylvania Middle,0,0,0,0,3,2021
Pennsylvania Western,2,2,0,0,1,2021
Puerto Rico,1,1,0,0,0,2021
Rhode Island,0,0,0,0,0,2021
South Carolina,4,13,1,3,1,2021
South Dakota,3,4,0,0,1,2021
Tennessee Eastern,0,0,0,0,0,2021
Tennessee Middle,0,0,0,0,0,2021
Tennessee Western,0,0,0,0,0,2021
Texas Eastern,1,5,0,0,0,2021
Texas Northern,7,10,0,0,3,2021
Texas Southern,5,21,1,2,3,2021
Texas Western,1,1,0,0,2,2021
Utah,0,0,0,0,1,2021
Vermont,0,0,0,0,0,2021
Virginia Eastern,3,4,0,0,2,2021
Virginia Western,1,1,0,0,0,2021
Virgin Islands,0,0,0,0,0,2021
Washington Eastern,2,3,0,0,0,2021
Washington Western,0,0,0,0,1,2021
West Virginia Northern,0,0,0,0,0,2021
West Virginia Southern,3,4,0,0,0,2021
Wisconsin Eastern,4,4,2,2,1,2021
Wisconsin Western,1,2,0,0,1,2021
Wyoming,0,0,0,0,1,2021
Alabama Middle,3,3,0,0,0,2022
Alabama Northern,5,5,0,0,4,2022
Alabama Southern,0,0,0,0,0,2022
Alaska,2,2,0,0,2,2022
Arizona,1,2,0,0,0,2022
Arkansas Eastern,0,0,0,0,0,2022
Arkansas Western,0,0,0,0,0,2022
California Central,2,3,0,0,0,2022
California Eastern,0,0,0,0,0,2022
California Northern,1,1,0,0,1,2022
California Southern,3,3,0,0,0,2022
Colorado,0,0,0,0,0,2022
Connecticut,1,1,0,0,0,2022
Delaware,0,0,0,0,0,2022
District of Columbia,1,1,0,0,1,2022
Florida Middle,5,5,0,0,3,2022
Florida Northern,0,0,0,0,0,2022
Florida Southern,12,12,0,0,1,2022
Georgia Middle,1,2,0,0,0,2022
Georgia Northern,2,2,0,0,1,2022
Georgia Southern,1,1,0,0,1,2022
Guam,0,0,0,0,0,2022
Hawaii,1,1,0,0,0,2022
Idaho,0,0,0,0,0,2022
Illinois Central,6,6,1,3,1,2022
Illinois Northern,0,0,0,0,0,2022
Illinois Southern,1,1,0,0,1,2022
Indiana Northern,1,1,0,0,0,2022
Indiana Southern,2,2,0,0,1,2022
Iowa Northern,1,1,0,0,0,2022
Iowa Southern,3,3,0,0,2,2022
Kansas,1,3,0,0,0,2022
Kentucky Eastern,0,0,0,0,0,2022
Kentucky Western,1,1,0,0,0,2022
Louisiana Eastern,5,6,0,0,0,2022
Louisiana Middle,0,0,0,0,0,2022
Louisiana Western,0,0,0,0,0,2022
Maine,1,3,0,0,0,2022
Maryland,2,4,0,0,0,2022
Massachusetts,10,11,0,0,0,2022
Michigan Eastern,1,1,0,0,1,2022
Michigan Western,1,1,0,0,1,2022
Minnesota,1,1,0,0,1,2022
Mississippi Northern,0,0,0,0,0,2022
Mississippi Southern,2,4,0,0,0,2022
Missouri Eastern,9,10,0,0,6,2022
Missouri Western,3,3,0,0,2,2022
Montana,1,1,0,0,0,2022
Nebraska,7,7,0,0,4,2022
Nevada,4,4,0,0,1,2022
New Hampshire,1,1,0,0,0,2022
New Jersey,0,0,1,2,0,2022
New Mexico,2,2,0,0,1,2022
New York Eastern,6,21,0,0,0,2022
New York Northern,0,0,0,0,0,2022
New York Southern,3,3,0,0,1,2022
New York Western,1,2,0,0,0,2022
North Carolina Eastern,2,4,0,0,1,2022
North Carolina Middle,2,3,0,0,0,2022
North Carolina Western,2,3,0,0,1,2022
North Dakota,0,0,0,0,0,2022
Northern Mariana Islands,0,0,0,0,0,2022
Ohio Northern,1,1,0,0,0,2022
Ohio Southern,1,1,0,0,0,2022
Oklahoma Eastern,0,0,0,0,0,2022
Oklahoma Northern,2,2,0,0,0,2022
Oklahoma Western,2,2,0,0,1,2022
Oregon,2,2,0,0,1,2022
Pennsylvania Eastern,0,0,0,0,0,2022
Pennsylvania Middle,0,0,0,0,0,2022
Pennsylvania Western,3,4,0,0,0,2022
Puerto Rico,0,0,0,0,0,2022
Rhode Island,0,0,0,0,0,2022
South Carolina,3,4,0,0,1,2022
South Dakota,2,2,0,0,2,2022
Tennessee Eastern,0,0,0,0,0,2022
Tennessee Middle,2,4,0,0,1,2022
Tennessee Western,1,1,0,0,0,2022
Texas Eastern,1,1,0,0,1,2022
Texas Northern,4,6,0,0,1,2022
Texas Southern,12,17,0,0,3,2022
Texas Western,1,2,0,0,0,2022
Utah,0,0,0,0,0,2022
Vermont,0,0,0,0,0,2022
Virginia Eastern,9,11,1,4,3,2022
Virginia Western,0,0,0,0,0,2022
Virgin Islands,0,0,0,0,0,2022
Washington Eastern,1,1,0,0,0,2022
Washington Western,1,1,2,2,3,2022
West Virginia Northern,0,0,0,0,0,2022
West Virginia Southern,2,2,0,0,2,2022
Wisconsin Eastern,6,6,0,0,1,2022
Wisconsin Western,0,0,0,0,0,2022
Wyoming,0,0,0,0,0,2022
Alabama Middle,0,3,0,0,0,2023
Alabama Northern,1,2,0,0,0,2023
Alabama Southern,1,1,0,0,1,2023
Alaska,2,2,0,0,1,2023
Arizona,4,4,0,0,2,2023
Arkansas Eastern,1,1,0,0,0,2023
Arkansas Western,0,0,0,0,0,2023
California Central,3,6,0,0,2,2023
California Eastern,1,1,0,0,1,2023
California Northern,0,0,0,0,0,2023
California Southern,10,13,0,0,1,2023
Colorado,0,0,0,0,0,2023
Connecticut,0,0,1,3,0,2023
Delaware,2,3,0,0,1,2023
District of Columbia,2,2,0,0,0,2023
Florida Middle,4,4,0,0,3,2023
Florida Northern,0,0,0,0,0,2023
Florida Southern,5,7,0,0,2,2023
Georgia Middle,0,0,0,0,0,2023
Georgia Northern,0,0,0,0,0,2023
Georgia Southern,0,0,0,0,0,2023
Guam,0,0,0,0,0,2023
Hawaii,2,2,0,0,1,2023
Idaho,0,0,0,0,0,2023
Illinois Central,3,3,0,0,3,2023
Illinois Northern,2,2,0,0,1,2023
Illinois Southern,1,1,0,0,1,2023
Indiana Northern,1,1,0,0,0,2023
Indiana Southern,1,1,0,0,0,2023
Iowa Northern,0,0,0,0,0,2023
Iowa Southern,7,8,0,0,3,2023
Kansas,1,1,0,0,0,2023
Kentucky Eastern,2,3,0,0,1,2023
Kentucky Western,6,7,0,0,3,2023
Louisiana Eastern,2,3,0,0,0,2023
Louisiana Middle,0,0,0,0,0,2023
Louisiana Western,2,2,0,0,1,2023
Maine,0,0,0,0,0,2023
Maryland,1,6,0,0,0,2023
Massachusetts,5,7,1,1,0,2023
Michigan Eastern,3,5,0,0,0,2023
Michigan Western,3,3,0,0,1,2023
Minnesota,1,1,0,0,1,2023
Mississippi Northern,0,0,0,0,0,2023
Mississippi Southern,1,1,0,0,1,2023
Missouri Eastern,4,5,0,0,0,2023
Missouri Western,0,0,0,0,0,2023
Montana,7,7,0,0,3,2023
Nebraska,6,8,0,0,2,2023
Nevada,4,5,0,0,4,2023
New Hampshire,0,0,0,0,0,2023
New Jersey,1,1,0,0,1,2023
New Mexico,2,3,0,0,1,2023
New York Eastern,5,9,1,2,0,2023
New York Northern,1,0,0,0,1,2023
New York Southern,2,2,0,0,1,2023
New York Western,2,3,1,1,0,2023
North Carolina Eastern,4,7,0,0,0,2023
North Carolina Middle,0,0,0,0,0,2023
North Carolina Western,1,1,0,0,0,2023
North Dakota,1,1,0,0,1,2023
Northern Mariana Islands,0,0,0,0,0,2023
Ohio Northern,1,1,0,0,1,2023
Ohio Southern,3,3,0,0,0,2023
Oklahoma Eastern,0,0,0,0,0,2023
Oklahoma Northern,2,2,0,0,0,2023
Oklahoma Western,0,0,0,0,0,2023
Oregon,1,1,0,0,1,2023
Pennsylvania Eastern,1,1,0,0,1,2023
Pennsylvania Middle,9,9,0,0,8,2023
Pennsylvania Western,2,2,0,0,0,2023
Puerto Rico,1,1,0,0,0,2023
Rhode Island,1,1,0,0,0,2023
South Carolina,4,4,0,0,3,2023
South Dakota,5,6,0,0,0,2023
Tennessee Eastern,1,1,0,0,1,2023
Tennessee Middle,0,1,0,0,0,2023
Tennessee Western,1,1,0,0,1,2023
Texas Eastern,1,3,0,0,0,2023
Texas Northern,7,16,0,0,1,2023
Texas Southern,10,20,0,0,3,2023
Texas Western,4,5,0,0,3,2023
Utah,3,3,0,0,1,2023
Vermont,0,0,0,0,0,2023
Virginia Eastern,5,6,1,2,4,2023
Virginia Western,1,1,0,0,0,2023
Virgin Islands,0,0,0,0,0,2023
Washington Eastern,4,4,0,0,3,2023
Washington Western,2,2,0,0,0,2023
West Virginia Northern,1,2,0,0,0,2023
West Virginia Southern,3,4,0,0,1,2023
Wisconsin Eastern,2,2,0,0,1,2023
Wisconsin Western,1,1,0,0,0,2023
Wyoming,1,1,0,0,0,2023
